Feature,key1,key2
CONFIGMAPKEYREF_optional,podspec_containers_env_valueFrom_configMapKeyRef_optional,deploymentspec_template_spec_containers_env_valueFrom_configMapKeyRef_optional
fieldRef,podspec_containers_env_valueFrom_fieldRef,deploymentspec_template_spec_containers_env_valueFrom_fieldRef
FIELDREF_apiversion,podspec_containers_env_valueFrom_fieldRef_apiVersion,deploymentspec_template_spec_containers_env_valueFrom_fieldRef_apiVersion
FIELDREF_fieldPath,podspec_containers_env_valueFrom_fieldRef_fieldPath,deploymentspec_template_spec_containers_env_valueFrom_fieldRef_fieldPath
resourceFieldRef,podspec_containers_env_valueFrom_resourceFieldRef,deploymentspec_template_spec_containers_env_valueFrom_resourceFieldRef
RESOURCEFIELDREF_containerName,podspec_containers_env_valueFrom_resourceFieldRef_containerName,deploymentspec_template_spec_containers_env_valueFrom_resourceFieldRef_containerName
RESOURCEFIELDREF_resource,podspec_containers_env_valueFrom_resourceFieldRef_resource,deploymentspec_template_spec_containers_env_valueFrom_resourceFieldRef_resource
RESOURCEFIELDREF_divisor,podspec_containers_env_valueFrom_resourceFieldRef_divisor,deploymentspec_template_spec_containers_env_valueFrom_resourceFieldRef_divisor
secretKeyRef,podspec_containers_env_valueFrom_secretKeyRef,deploymentspec_template_spec_containers_env_valueFrom_secretKeyRef
SECRETKEYREF_key,podspec_containers_env_valueFrom_secretKeyRef_key,deploymentspec_template_spec_containers_env_valueFrom_secretKeyRef_key
SECRETKEYREF_name,podspec_containers_env_valueFrom_secretKeyRef_name,deploymentspec_template_spec_containers_env_valueFrom_secretKeyRef_name
SECRETKEYREF_optional,podspec_containers_env_valueFrom_secretKeyRef_optional,deploymentspec_template_spec_containers_env_valueFrom_secretKeyRef_optional
CONTAINERS_envFrom,podspec_containers_envFrom,deploymentspec_template_spec_containers_envFrom
ENVFROM_configMapRef,podspec_containers_envFrom_configMapRef,deploymentspec_template_spec_containers_envFrom_configMapRef
CONFIGMAPREF_name,podspec_containers_envFrom_configMapRef_name,deploymentspec_template_spec_containers_envFrom_configMapRef_name
CONFIGMAPREF_optional,podspec_containers_envFrom_configMapRef_optional,deploymentspec_template_spec_containers_envFrom_configMapRef_optional
ENVFROM_secretRef,podspec_containers_envFrom_secretRef,deploymentspec_template_spec_containers_envFrom_secretRef
SECRETREF_name,podspec_containers_envFrom_secretRef_name,deploymentspec_template_spec_containers_envFrom_secretRef_name
SECRETREF_optional,podspec_containers_envFrom_secretRef_optional,deploymentspec_template_spec_containers_envFrom_secretRef_optional
CONTAINERS_imagePullPolicy,podspec_containers_imagePullPolicy,deploymentspec_template_spec_containers_imagePullPolicy
IMAGEPULLPOLICY_always,-,-
IMAGEPULLPOLICY_never,-,-
IMAGEPULLPOLICY_ifNotPresent,-,-
CONTAINERS_lifecycle,podspec_containers_lifecycle,deploymentspec_template_spec_containers_lifecycle
LIFECYCLE_postStart,podspec_containers_lifecycle_postStart,deploymentspec_template_spec_containers_lifecycle_postStart
POSTSTART_exec,podspec_containers_lifecycle_postStart_exec,deploymentspec_template_spec_containers_lifecycle_postStart_exec
POSTSTART_EXEC_command,podspec_containers_lifecycle_postStart_exec_command,deploymentspec_template_spec_containers_lifecycle_postStart_exec_command
POSTSTART_sleep,podspec_containers_lifecycle_postStart_sleep,deploymentspec_template_spec_containers_lifecycle_postStart_sleep
POSTSTART_SLEEP_seconds,podspec_containers_lifecycle_postStart_sleep_seconds,deploymentspec_template_spec_containers_lifecycle_postStart_sleep_seconds
POSTSTART_httpGet,podspec_containers_lifecycle_postStart_httpGet,deploymentspec_template_spec_containers_lifecycle_postStart_httpGet
POSTSTART_HTTPGET_host,podspec_containers_lifecycle_postStart_httpGet_host,deploymentspec_template_spec_containers_lifecycle_postStart_httpGet_host
POSTSTART_HTTPGET_httpHeaders,podspec_containers_lifecycle_postStart_httpGet_httpHeaders,deploymentspec_template_spec_containers_lifecycle_postStart_httpGet_httpHeaders
POSTSTART_HTTPHEADERS_name,podspec_containers_lifecycle_postStart_httpGet_httpHeaders_name,deploymentspec_template_spec_containers_lifecycle_postStart_httpGet_httpHeaders_name
POSTSTART_HTTPHEADERS_value,podspec_containers_lifecycle_postStart_httpGet_httpHeaders_value,deploymentspec_template_spec_containers_lifecycle_postStart_httpGet_httpHeaders_value
POSTSTART_HTTPGET_port,podspec_containers_lifecycle_postStart_httpGet_port,deploymentspec_template_spec_containers_lifecycle_postStart_httpGet_port
POSTSTART_HTTPGET_path,podspec_containers_lifecycle_postStart_httpGet_path,deploymentspec_template_spec_containers_lifecycle_postStart_httpGet_path
POSTSTART_HTTPGET_scheme,podspec_containers_lifecycle_postStart_httpGet_scheme,deploymentspec_template_spec_containers_lifecycle_postStart_httpGet_scheme
LIFECYCLE_preStop,podspec_containers_lifecycle_preStop,deploymentspec_template_spec_containers_lifecycle_preStop
